time,mean_TRMM_3B42
2017-05-15,20.7714272
2017-05-16,27.6850719
2017-05-17,2.85864568
2017-05-18,19.5027122
2017-05-19,13.2779312
2017-05-20,91.6740189
2017-05-21,4.98393059
2017-05-22,1.88438761
2017-05-23,0
2017-05-24,0.594632387
2017-05-25,18.9696598
2017-05-26,6.74941015
2017-05-27,3.8371892
2017-05-28,6.92852306
2017-05-29,20.7769299
2017-05-30,4.53943205
2017-05-31,36.8260689
2017-06-01,2.58523035
2017-06-02,5.86251307
2017-06-03,21.0612812
2017-06-04,65.9054565
2017-06-05,1.88945901
2017-06-06,10.6510305
2017-06-07,48.6693001
2017-06-08,2.56860733
2017-06-09,6.80720758
2017-06-10,12.670927
2017-06-11,33.0822372
2017-06-12,18.3745728
2017-06-13,1.73924065
2017-06-14,8.81241417
2017-06-15,24.2854939
2017-06-16,7.61807966
2017-06-17,5.54309893
2017-06-18,12.0145044
2017-06-19,12.0345688
2017-06-20,27.1715374
2017-06-21,5.86442709
2017-06-22,9.41208172
2017-06-23,6.28215361
2017-06-24,4.65630054
2017-06-25,36.0313683
2017-06-26,8.53435516
2017-06-27,11.739233
2017-06-28,12.5387144
2017-06-29,11.9547949
2017-06-30,24.0432663
2017-07-01,16.9737759
2017-07-02,45.2414513
2017-07-03,17.1414909
2017-07-04,18.6908283
2017-07-05,14.5255909
2017-07-06,13.7144098
2017-07-07,10.6364956
2017-07-08,22.8106709
2017-07-09,56.2498512
2017-07-10,23.9060669
2017-07-11,46.6802292
2017-07-12,15.3213148
2017-07-13,24.0374584
2017-07-14,22.0090599
2017-07-15,17.9072342
2017-07-16,5.12403727
2017-07-17,21.9151878
2017-07-18,17.6189194
2017-07-19,44.9124451
2017-07-20,0.767755747
2017-07-21,21.0102768
2017-07-22,7.77324915
2017-07-23,10.583354
2017-07-24,5.29111338
2017-07-25,32.7498016
2017-07-26,27.9592838
2017-07-27,13.9835434
2017-07-28,5.2061882
2017-07-29,6.89251184
2017-07-30,40.4191513
2017-07-31,5.73413277
2017-08-01,0.0811618194
2017-08-02,1.45765829
2017-08-03,6.26384735
2017-08-04,52.3189888
2017-08-05,0.758269906
2017-08-06,10.2385406
2017-08-07,11.3580036
2017-08-08,17.7872829
2017-08-09,17.6343899
2017-08-10,1.81632268
2017-08-11,38.5129585
2017-08-12,11.6887369
2017-08-13,6.22581434
2017-08-14,0.885662615
2017-08-15,16.6817226
2017-08-16,43.1799698
2017-08-17,1.47627699
2017-08-18,23.0243912
2017-08-19,26.8597298
2017-08-20,27.1621342
2017-08-21,0.394499838
2017-08-22,8.60452271
2017-08-23,26.8527737
2017-08-24,6.85475254
2017-08-25,5.48608017
2017-08-26,27.6524963
2017-08-27,15.361599
2017-08-28,17.9824886
2017-08-29,10.5858498
2017-08-30,20.5569019
2017-08-31,3.00288486
2017-09-01,0
2017-09-02,29.9743214
2017-09-03,2.53132129
2017-09-04,3.6792357
2017-09-05,10.1090755
2017-09-06,24.8265553
2017-09-07,9.23523808
2017-09-08,14.7209997
2017-09-09,12.1090717
2017-09-10,19.0181999
2017-09-11,3.9193635
2017-09-12,41.3513718
2017-09-13,30.6253853
2017-09-14,8.59730244
2017-09-15,33.2413902
2017-09-16,9.22290325
2017-09-17,17.6748447
2017-09-18,10.4096556
2017-09-19,11.5827179
2017-09-20,10.8995476
2017-09-21,2.20528769
2017-09-22,13.6095695
2017-09-23,29.0175362
2017-09-24,9.8313818
2017-09-25,32.7617645
2017-09-26,0.600017786
2017-09-27,7.28863287
2017-09-28,52.4666977
2017-09-29,3.43471551
2017-09-30,26.9256916
2017-10-01,12.5963688
2017-10-02,9.55012894
2017-10-03,20.5861053
2017-10-04,18.774107
2017-10-05,11.9725847
2017-10-06,1.35660028
